Age,Attrition,Department,EmployeeNumber,Gender,JobLevel,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,OverTime
35,No,Sales,49,Female,1,Sales Representative,Married,2014,9687,No
36,No,Research & Development,51,Female,1,Research Scientist,Married,3419,13072,Yes
33,No,Sales,52,Female,2,Sales Executive,Married,5376,3193,No
35,No,Research & Development,53,Male,1,Laboratory Technician,Divorced,1951,10910,No
27,No,Research & Development,54,Female,1,Laboratory Technician,Divorced,2341,19715,No
26,Yes,Research & Development,55,Male,1,Laboratory Technician,Single,2293,10558,No
27,No,Sales,56,Male,3,Sales Executive,Single,8726,2975,No
30,No,Research & Development,57,Female,2,Laboratory Technician,Single,4011,10781,No
41,Yes,Research & Development,58,Female,5,Research Director,Married,19545,16280,No
34,No,Sales,60,Male,2,Sales Executive,Single,4568,10034,No
37,No,Research & Development,61,Male,1,Research Scientist,Married,3022,10227,No
46,No,Sales,62,Male,2,Sales Executive,Single,5772,20445,Yes
35,No,Research & Development,63,Male,1,Laboratory Technician,Married,2269,4892,No
48,Yes,Research & Development,64,Male,3,Laboratory Technician,Single,5381,19294,Yes
28,Yes,Research & Development,65,Male,1,Laboratory Technician,Single,3441,11179,Yes
44,No,Sales,68,Female,2,Sales Executive,Divorced,5454,4009,Yes
35,No,Research & Development,70,Male,3,Healthcare Representative,Married,9884,8302,Yes
26,No,Sales,72,Female,2,Sales Executive,Married,4157,21436,Yes
33,No,Research & Development,73,Female,3,Research Director,Single,13458,15146,Yes
35,No,Sales,74,Male,3,Sales Executive,Married,9069,11031,No
35,No,Research & Development,75,Female,1,Laboratory Technician,Married,4014,16002,Yes
31,No,Research & Development,76,Male,2,Laboratory Technician,Divorced,5915,9528,No
37,No,Research & Development,77,Male,2,Manufacturing Director,Divorced,5993,2689,No
32,No,Research & Development,78,Male,2,Manufacturing Director,Married,6162,10877,Yes
38,No,Research & Development,79,Female,2,Laboratory Technician,Single,2406,5456,No
50,No,Research & Development,80,Female,5,Research Director,Divorced,18740,16701,Yes
59,No,Sales,81,Female,3,Sales Executive,Single,7637,2354,No
36,No,Research & Development,83,Female,3,Healthcare Representative,Divorced,10096,8202,No
55,No,Research & Development,84,Female,4,Manager,Divorced,14756,19730,Yes
36,No,Research & Development,85,Male,2,Manufacturing Director,Single,6499,22656,No
45,No,Research & Development,86,Male,3,Research Scientist,Divorced,9724,18787,No
35,No,Research & Development,88,Male,1,Research Scientist,Married,2194,5868,No
36,Yes,Research & Development,90,Male,1,Research Scientist,Married,3388,21777,Yes
59,No,Sales,91,Female,2,Sales Executive,Single,5473,24668,No
29,No,Research & Development,94,Male,1,Research Scientist,Married,2703,4956,No
31,No,Research & Development,95,Male,1,Research Scientist,Single,2501,18775,No
32,No,Research & Development,96,Male,2,Research Scientist,Married,6220,7346,No
36,No,Research & Development,97,Female,1,Laboratory Technician,Married,3038,22002,No
31,No,Research & Development,98,Female,2,Manufacturing Director,Single,4424,20682,No
35,No,Sales,100,Male,2,Sales Executive,Single,4312,23016,No
45,No,Research & Development,101,Male,3,Research Director,Married,13245,15067,Yes
37,No,Research & Development,102,Male,3,Research Director,Single,13664,25258,No
46,No,Human Resources,103,Male,2,Human Resources,Divorced,5021,10425,Yes
30,No,Research & Development,104,Male,2,Laboratory Technician,Married,5126,15998,Yes
35,No,Research & Development,105,Male,1,Research Scientist,Single,2859,26278,No
55,No,Sales,106,Male,3,Sales Executive,Married,10239,18092,No
38,No,Research & Development,107,Female,2,Research Scientist,Divorced,5329,15717,Yes
34,No,Research & Development,110,Male,2,Manufacturing Director,Married,4325,17736,No
56,No,Research & Development,112,Male,3,Manufacturing Director,Single,7260,21698,No
23,No,Sales,113,Male,1,Sales Representative,Divorced,2322,9518,No
51,No,Research & Development,116,Male,1,Laboratory Technician,Married,2075,18725,No
30,No,Research & Development,117,Male,2,Healthcare Representative,Married,4152,15830,No
46,Yes,Sales,118,Male,3,Sales Executive,Single,9619,13596,No
40,No,Research & Development,119,Male,4,Healthcare Representative,Married,13503,14115,No
51,No,Sales,120,Male,2,Sales Executive,Single,5441,8423,Yes
30,No,Sales,121,Female,2,Sales Executive,Divorced,5209,19760,Yes
46,No,Research & Development,124,Male,3,Healthcare Representative,Married,10673,3142,Yes
32,No,Sales,125,Male,2,Sales Executive,Single,5010,24301,No
54,No,Research & Development,126,Female,3,Research Director,Married,13549,24001,No
24,No,Sales,128,Female,2,Sales Executive,Married,4999,17519,No
28,No,Sales,129,Male,2,Sales Executive,Married,4221,8863,No
58,No,Sales,131,Male,4,Sales Executive,Single,13872,24409,No
44,No,Research & Development,132,Male,2,Laboratory Technician,Married,2042,25043,No
37,Yes,Human Resources,133,Male,1,Human Resources,Divorced,2073,23648,Yes
32,No,Research & Development,134,Male,1,Research Scientist,Single,2956,15178,No
20,Yes,Research & Development,137,Female,1,Laboratory Technician,Single,2926,19783,Yes
34,No,Research & Development,138,Female,2,Research Scientist,Single,4809,12482,No
37,No,Research & Development,139,Male,2,Healthcare Representative,Divorced,5163,15850,No
59,No,Human Resources,140,Female,5,Manager,Married,18844,21922,No
50,No,Research & Development,141,Female,5,Research Director,Married,18172,9755,Yes
25,Yes,Sales,142,Male,2,Sales Executive,Single,5744,26959,Yes
25,No,Research & Development,143,Male,1,Research Scientist,Married,2889,26897,No
22,No,Research & Development,144,Female,1,Laboratory Technician,Single,2871,23785,No
51,No,Research & Development,145,Female,3,Healthcare Representative,Single,7484,25796,No
34,Yes,Research & Development,147,Male,2,Laboratory Technician,Single,6074,22887,Yes
54,No,Human Resources,148,Female,4,Manager,Single,17328,13871,Yes
24,No,Research & Development,150,Male,1,Laboratory Technician,Married,2774,13257,No
34,No,Research & Development,151,Female,2,Research Scientist,Divorced,4505,15000,No
37,No,Sales,152,Male,3,Sales Executive,Single,7428,14506,No
34,No,Research & Development,153,Female,3,Manager,Single,11631,5615,No
36,No,Sales,154,Female,3,Sales Executive,Married,9738,22952,No
36,No,Research & Development,155,Female,1,Laboratory Technician,Divorced,2835,2561,No
43,No,Sales,158,Male,4,Manager,Married,16959,19494,Yes
30,No,Research & Development,159,Male,1,Research Scientist,Divorced,2613,22310,No
33,No,Sales,160,Male,2,Sales Executive,Married,6146,15480,No
56,Yes,Research & Development,161,Female,1,Research Scientist,Married,4963,4510,Yes
51,No,Research & Development,162,Male,5,Research Director,Single,19537,6462,No
31,Yes,Sales,163,Male,2,Sales Executive,Married,6172,20739,Yes
26,No,Research & Development,164,Female,1,Research Scientist,Married,2368,23300,No
58,Yes,Research & Development,165,Female,3,Healthcare Representative,Married,10312,3465,No
19,Yes,Sales,167,Male,1,Sales Representative,Single,1675,26820,Yes
22,No,Research & Development,169,Male,1,Laboratory Technician,Married,2523,19299,No
49,No,Research & Development,170,Female,2,Manufacturing Director,Married,6567,5549,No
43,No,Research & Development,171,Female,1,Research Scientist,Single,4739,16090,No
50,No,Sales,174,Female,3,Sales Executive,Single,9208,6645,No
31,Yes,Sales,175,Female,2,Sales Executive,Married,4559,24788,Yes
41,No,Sales,176,Male,3,Sales Executive,Divorced,8189,21196,Yes
26,No,Human Resources,177,Female,1,Human Resources,Married,2942,8916,No
36,No,Research & Development,178,Male,2,Manufacturing Director,Divorced,4941,2819,No
51,Yes,Research & Development,179,Male,3,Manufacturing Director,Single,10650,25150,No
39,No,Sales,182,Female,2,Sales Executive,Married,5902,14590,No
25,No,Sales,183,Male,2,Sales Executive,Married,8639,24835,No
30,No,Human Resources,184,Male,2,Human Resources,Married,6347,13982,Yes
32,Yes,Research & Development,190,Female,1,Laboratory Technician,Single,4200,10224,No
45,No,Research & Development,192,Male,1,Research Scientist,Single,3452,9752,No
38,No,Research & Development,193,Female,2,Research Scientist,Single,4317,2302,Yes
30,No,Research & Development,194,Female,1,Research Scientist,Single,2632,23910,No
32,No,Sales,195,Male,2,Sales Executive,Divorced,4668,22812,No
30,No,Research & Development,197,Female,1,Research Scientist,Divorced,3204,10415,No
30,No,Research & Development,198,Male,1,Laboratory Technician,Single,2720,11162,No
41,No,Research & Development,199,Male,4,Manager,Divorced,17181,12888,No
41,No,Research & Development,200,Male,1,Laboratory Technician,Married,2238,6961,No
19,No,Research & Development,201,Female,1,Laboratory Technician,Single,1483,16102,No
40,No,Research & Development,202,Female,2,Research Scientist,Divorced,5605,8504,No
35,No,Sales,204,Male,3,Sales Executive,Married,7295,11439,No
53,No,Sales,205,Male,2,Sales Representative,Married,2306,16047,Yes
45,No,Research & Development,206,Male,2,Laboratory Technician,Divorced,2348,10901,No
32,No,Sales,207,Female,3,Sales Executive,Single,8998,15589,No
29,No,Research & Development,208,Male,2,Manufacturing Director,Married,4319,26283,No
51,No,Research & Development,211,Male,2,Manufacturing Director,Married,6132,13983,No
58,No,Research & Development,214,Female,1,Research Scientist,Married,3346,11873,Yes
40,No,Sales,215,Male,3,Sales Executive,Married,10855,8552,No
34,No,Sales,216,Female,1,Sales Representative,Married,2231,11314,No
22,No,Research & Development,217,Male,1,Research Scientist,Married,2323,11992,No
27,No,Research & Development,218,Male,1,Research Scientist,Divorced,2024,5970,No
28,No,Research & Development,221,Male,1,Research Scientist,Married,2713,6672,No
57,No,Research & Development,223,Male,3,Healthcare Representative,Divorced,9439,23402,Yes
27,No,Research & Development,224,Male,1,Research Scientist,Divorced,2566,25326,Yes
50,No,Research & Development,226,Female,5,Manager,Single,19926,17053,No
41,No,Research & Development,227,Male,1,Research Scientist,Divorced,2451,4609,No
30,No,Sales,228,Female,3,Sales Executive,Married,9419,8053,No
38,No,Sales,230,Female,2,Sales Executive,Single,8686,12930,No
32,No,Research & Development,231,Male,1,Research Scientist,Single,3038,12430,No
27,No,Research & Development,233,Male,1,Research Scientist,Married,3058,13364,Yes
19,Yes,Sales,235,Female,1,Sales Representative,Single,2325,20989,No
36,No,Research & Development,238,Male,1,Laboratory Technician,Single,2088,15062,No
30,No,Research & Development,239,Male,2,Laboratory Technician,Divorced,3072,11012,No
45,No,Sales,240,Female,2,Sales Executive,Divorced,5006,6319,Yes
56,No,Research & Development,241,Female,1,Research Scientist,Divorced,4257,13939,Yes
33,No,Research & Development,242,Male,1,Research Scientist,Single,2500,10515,No
19,Yes,Research & Development,243,Male,1,Laboratory Technician,Single,1102,9241,No
46,No,Sales,244,Female,3,Sales Executive,Divorced,10453,2137,No
38,No,Research & Development,245,Female,1,Laboratory Technician,Single,2288,6319,No
31,No,Research & Development,246,Female,1,Research Scientist,Married,3929,6984,Yes
34,No,Research & Development,247,Female,1,Research Scientist,Single,2311,5711,No
41,Yes,Sales,248,Female,1,Sales Representative,Single,3140,21728,Yes
50,No,Research & Development,249,Male,1,Laboratory Technician,Married,3690,3425,No
53,No,Research & Development,250,Female,2,Manufacturing Director,Divorced,4450,26250,No
33,No,Research & Development,252,Female,1,Research Scientist,Married,2756,4673,No
40,No,Research & Development,253,Female,5,Manager,Married,19033,6499,No
55,No,Research & Development,254,Male,5,Research Director,Single,18722,13339,No
34,No,Research & Development,256,Male,2,Manufacturing Director,Married,9547,14074,No
51,No,Research & Development,258,Female,4,Healthcare Representative,Single,13734,7192,No
52,No,Research & Development,259,Male,5,Manager,Married,19999,5678,No
27,No,Research & Development,260,Female,1,Research Scientist,Single,2279,11781,No
35,Yes,Research & Development,261,Male,2,Manufacturing Director,Married,5916,15497,Yes
43,No,Research & Development,262,Male,1,Research Scientist,Divorced,2089,5228,No
45,No,Research & Development,264,Male,4,Manager,Married,16792,20462,No
37,No,Research & Development,267,Male,1,Research Scientist,Married,3564,22977,Yes
35,No,Research & Development,269,Female,2,Laboratory Technician,Single,4425,15986,No
42,No,Research & Development,270,Female,2,Manufacturing Director,Divorced,5265,16439,No
38,No,Research & Development,271,Male,2,Manufacturing Director,Married,6553,7259,No
38,No,Research & Development,273,Male,2,Manufacturing Director,Married,6261,4185,No
27,No,Research & Development,274,Male,2,Manufacturing Director,Married,4298,9679,No
49,No,Research & Development,275,Male,2,Manufacturing Director,Divorced,6804,23793,Yes
34,No,Research & Development,277,Male,1,Research Scientist,Divorced,3815,5972,Yes
40,No,Research & Development,281,Male,2,Laboratory Technician,Married,2741,16523,Yes
38,Yes,Research & Development,282,Male,2,Healthcare Representative,Married,6673,11354,Yes
29,Yes,Sales,283,Female,3,Sales Executive,Married,7639,24525,No
22,No,Research & Development,284,Male,1,Research Scientist,Divorced,2328,12392,Yes
36,No,Research & Development,286,Female,1,Laboratory Technician,Single,2153,7703,No
40,No,Research & Development,287,Male,2,Healthcare Representative,Married,4876,14242,No
46,No,Research & Development,288,Male,3,Healthcare Representative,Divorced,9396,12368,No
32,Yes,Sales,291,Male,3,Sales Executive,Married,10400,25812,No
30,No,Research & Development,292,Male,3,Manufacturing Director,Single,8474,20925,No
27,No,Sales,293,Female,2,Sales Executive,Single,9981,12916,No
51,No,Research & Development,296,Male,3,Research Director,Married,12490,15736,No
30,Yes,Research & Development,297,Female,1,Research Scientist,Single,2657,8556,Yes
41,No,Sales,298,Female,3,Manager,Single,13591,14674,Yes
30,Yes,Sales,299,Female,2,Sales Executive,Single,6696,22967,No
29,Yes,Research & Development,300,Male,1,Research Scientist,Single,2058,19757,No
45,No,Sales,302,Female,3,Sales Executive,Single,8865,16840,No
54,No,Sales,303,Female,2,Sales Executive,Married,5940,17011,No
36,No,Research & Development,304,Male,2,Laboratory Technician,Single,5914,9945,No
33,No,Research & Development,305,Female,1,Research Scientist,Married,2622,13248,No
37,No,Research & Development,306,Male,3,Research Director,Divorced,12185,10056,Yes
38,No,Sales,307,Male,3,Sales Executive,Divorced,10609,9647,No
31,No,Research & Development,308,Male,2,Manufacturing Director,Married,4345,4381,No
59,No,Research & Development,309,Male,1,Research Scientist,Married,2177,8456,No
37,No,Sales,311,Male,1,Sales Representative,Divorced,2793,2539,No
29,No,Sales,312,Female,3,Sales Executive,Married,7918,6599,No
35,No,Sales,314,Female,3,Sales Executive,Single,8789,9096,No
29,Yes,Research & Development,315,Male,1,Research Scientist,Single,2389,14961,Yes
52,No,Research & Development,316,Female,1,Laboratory Technician,Single,3212,3300,No
42,No,Research & Development,319,Male,5,Manager,Married,19232,4933,No
59,No,Human Resources,321,Male,1,Human Resources,Married,2267,25657,No
50,No,Sales,323,Female,5,Manager,Divorced,19517,24118,No
33,Yes,Research & Development,325,Male,1,Laboratory Technician,Married,2436,22149,Yes
43,No,Sales,327,Female,4,Manager,Married,16064,7744,Yes
33,Yes,Research & Development,328,Female,1,Laboratory Technician,Married,2707,21509,No
52,No,Sales,329,Male,5,Manager,Single,19068,21030,Yes
32,No,Sales,330,Female,1,Sales Representative,Married,3931,20990,No
32,Yes,Research & Development,331,Male,1,Laboratory Technician,Single,3730,9571,Yes
39,No,Research & Development,332,Female,1,Laboratory Technician,Divorced,2232,15417,No
32,No,Sales,333,Male,2,Sales Executive,Married,4465,12069,No
41,No,Research & Development,334,Male,2,Research Scientist,Divorced,3072,19877,No
40,No,Research & Development,335,Male,2,Research Scientist,Divorced,3319,24447,No
45,No,Research & Development,336,Male,5,Manager,Married,19202,15970,No
31,No,Research & Development,337,Male,3,Research Director,Divorced,13675,13523,No
33,No,Research & Development,338,Female,1,Research Scientist,Married,2911,14776,No
34,No,Research & Development,339,Male,2,Manufacturing Director,Married,5957,23687,No
37,No,Research & Development,340,Female,1,Research Scientist,Married,3920,18697,No
45,No,Research & Development,341,Male,2,Manufacturing Director,Married,6434,5118,No
37,Yes,Research & Development,342,Male,3,Manufacturing Director,Divorced,10048,22573,No
39,No,Research & Development,343,Female,3,Healthcare Representative,Single,10938,6420,No
29,No,Research & Development,346,Male,1,Research Scientist,Single,2340,22673,No
42,No,Research & Development,347,Female,2,Research Scientist,Single,6545,23016,Yes
29,No,Sales,349,Male,2,Sales Executive,Divorced,6931,10732,No
25,No,Research & Development,350,Female,2,Manufacturing Director,Married,4898,7505,No
42,No,Research & Development,351,Female,1,Laboratory Technician,Divorced,2593,8007,Yes
40,No,Research & Development,352,Male,5,Research Director,Divorced,19436,5949,No
51,No,Research & Development,353,Male,1,Research Scientist,Married,2723,23231,No
31,Yes,Research & Development,355,Male,1,Laboratory Technician,Single,3479,11652,No
32,No,Research & Development,359,Male,1,Laboratory Technician,Married,2794,26062,No
38,No,Sales,361,Male,2,Sales Executive,Married,5249,19682,No
32,No,Research & Development,362,Male,2,Laboratory Technician,Single,2176,19737,No
46,No,Sales,363,Female,4,Manager,Married,16872,14977,Yes
28,Yes,Research & Development,364,Male,1,Laboratory Technician,Single,3485,14935,No
29,No,Sales,366,Male,2,Sales Executive,Married,6644,3687,No
31,No,Research & Development,367,Male,2,Healthcare Representative,Married,5582,14408,No
25,No,Research & Development,369,Male,2,Healthcare Representative,Divorced,4000,18384,No
45,No,Research & Development,372,Male,4,Healthcare Representative,Married,13496,7501,Yes
36,No,Research & Development,373,Male,1,Laboratory Technician,Married,3210,20251,No
55,No,Research & Development,374,Male,5,Manager,Single,19045,18938,Yes
47,Yes,Research & Development,376,Male,3,Manager,Married,11849,10268,Yes
28,No,Research & Development,377,Male,1,Research Scientist,Married,2070,2613,No
37,No,Sales,378,Male,2,Sales Executive,Married,6502,22825,No
21,No,Research & Development,379,Male,1,Research Scientist,Single,3230,10531,No
37,No,Research & Development,380,Female,3,Research Director,Divorced,13603,11677,Yes
35,No,Research & Development,381,Female,3,Manager,Divorced,11996,19100,No
38,No,Sales,382,Female,2,Sales Executive,Divorced,5605,19191,Yes
26,No,Research & Development,384,Female,2,Manufacturing Director,Divorced,6397,26767,No
50,No,Research & Development,385,Male,5,Research Director,Divorced,19144,15815,No
53,No,Research & Development,386,Male,4,Research Director,Married,17584,21016,Yes
42,No,Sales,387,Male,2,Sales Executive,Married,4907,24532,No
29,No,Sales,388,Male,2,Sales Executive,Single,4554,20260,No
55,No,Research & Development,389,Male,2,Laboratory Technician,Married,5415,15972,Yes
26,No,Research & Development,390,Male,2,Healthcare Representative,Married,4741,22722,Yes
37,No,Research & Development,391,Female,1,Research Scientist,Single,2115,15881,No
44,Yes,Research & Development,392,Male,1,Laboratory Technician,Divorced,3161,19920,Yes
38,No,Research & Development,393,Male,2,Healthcare Representative,Divorced,5745,18899,No
26,Yes,Research & Development,394,Male,1,Laboratory Technician,Divorced,2373,14180,Yes
28,No,Research & Development,395,Female,1,Research Scientist,Single,3310,4488,No
49,No,Research & Development,396,Female,5,Research Director,Single,18665,25594,Yes
36,No,Research & Development,397,Male,2,Research Scientist,Single,4485,26285,No
31,No,Sales,399,Female,1,Sales Representative,Divorced,2789,3909,No
26,Yes,Sales,401,Male,2,Sales Executive,Single,5828,8450,Yes
37,No,Research & Development,403,Male,1,Research Scientist,Married,2326,11411,Yes
42,No,Sales,404,Female,4,Sales Executive,Married,13525,14864,No
18,Yes,Research & Development,405,Male,1,Laboratory Technician,Single,1420,25233,No
35,No,Sales,406,Male,3,Sales Executive,Married,8020,5100,No
36,No,Research & Development,407,Male,1,Laboratory Technician,Married,3688,7122,No
51,No,Research & Development,408,Male,2,Manufacturing Director,Divorced,5482,16321,No
41,No,Sales,410,Male,4,Manager,Single,16015,15896,No
18,No,Sales,411,Female,1,Sales Representative,Single,1200,9724,No
28,No,Research & Development,412,Male,2,Healthcare Representative,Single,5661,4824,No
31,No,Sales,416,Male,2,Sales Executive,Married,6929,12241,No
39,No,Research & Development,417,Male,3,Healthcare Representative,Divorced,9613,10942,No
36,No,Research & Development,419,Female,2,Laboratory Technician,Married,5674,6927,No
32,No,Sales,420,Male,2,Sales Executive,Married,5484,16985,No
38,No,Research & Development,421,Female,3,Research Director,Married,12061,26707,No
58,No,Research & Development,422,Male,2,Healthcare Representative,Divorced,5660,17056,Yes
31,No,Research & Development,423,Male,1,Research Scientist,Married,4821,10077,Yes
31,No,Human Resources,424,Male,2,Human Resources,Married,6410,17822,No
45,No,Research & Development,425,Male,3,Laboratory Technician,Divorced,5210,20308,No
31,No,Research & Development,426,Male,1,Research Scientist,Divorced,2695,7747,Yes
33,No,Research & Development,428,Female,3,Manager,Married,11878,23364,No
39,No,Research & Development,429,Male,4,Manager,Married,17068,5355,Yes
43,No,Research & Development,430,Female,1,Laboratory Technician,Single,2455,10675,No
49,No,Research & Development,431,Female,4,Healthcare Representative,Single,13964,17810,Yes
52,Yes,Research & Development,433,Male,2,Research Scientist,Married,4941,17747,No
27,No,Research & Development,434,Female,1,Research Scientist,Single,2478,20938,Yes
32,No,Sales,436,Female,2,Sales Executive,Married,5228,24624,Yes
27,No,Sales,437,Male,2,Sales Executive,Single,4478,5242,Yes
31,No,Sales,438,Male,2,Sales Executive,Divorced,7547,7143,No
32,No,Research & Development,439,Female,2,Research Scientist,Single,5055,10557,No
28,Yes,Research & Development,440,Male,1,Research Scientist,Married,3464,24737,Yes
30,No,Research & Development,441,Female,2,Research Scientist,Married,5775,11934,No
31,No,Research & Development,442,Female,3,Manufacturing Director,Married,8943,14034,No
39,No,Research & Development,444,Male,5,Manager,Married,19272,21141,No
39,Yes,Sales,445,Female,2,Sales Executive,Married,5238,17778,Yes
33,No,Sales,446,Male,2,Sales Executive,Single,4682,4317,No
47,No,Research & Development,447,Male,5,Research Director,Married,18300,16375,No
43,No,Research & Development,448,Female,2,Laboratory Technician,Divorced,5257,6227,No
27,No,Sales,449,Male,2,Sales Executive,Married,6349,22107,Yes
54,No,Research & Development,450,Female,2,Research Scientist,Single,4869,16885,No
43,No,Research & Development,451,Female,3,Healthcare Representative,Married,9985,9262,No
45,No,Research & Development,452,Male,2,Research Scientist,Married,3697,9278,No
40,No,Sales,453,Male,2,Sales Executive,Married,7457,13273,Yes
29,Yes,Research & Development,454,Male,1,Laboratory Technician,Married,2119,4759,Yes
29,No,Research & Development,455,Male,1,Laboratory Technician,Single,3983,7621,No
30,No,Sales,456,Female,2,Sales Executive,Divorced,6118,5431,No
27,No,Sales,458,Female,2,Sales Executive,Married,6214,3415,No
37,No,Research & Development,460,Male,2,Manufacturing Director,Divorced,6347,23177,No
38,No,Research & Development,461,Male,3,Research Director,Divorced,11510,15682,Yes
31,No,Research & Development,462,Female,3,Manufacturing Director,Single,7143,25713,Yes
29,No,Sales,463,Female,2,Sales Executive,Divorced,8268,11866,Yes
35,No,Research & Development,464,Male,3,Manufacturing Director,Single,8095,18264,No
23,No,Research & Development,465,Male,1,Research Scientist,Divorced,2904,16092,No
41,No,Research & Development,466,Male,2,Manufacturing Director,Single,6032,10110,Yes
47,No,Sales,467,Male,2,Sales Representative,Single,2976,25751,No
42,No,Research & Development,468,Female,4,Research Director,Single,15992,15901,No
29,No,Sales,469,Male,2,Sales Executive,Married,4649,16928,No
42,No,Human Resources,470,Male,1,Human Resources,Divorced,2696,24017,Yes
32,No,Research & Development,471,Female,1,Laboratory Technician,Married,2370,3956,No
48,No,Sales,473,Female,3,Manager,Married,12504,23978,No
37,No,Research & Development,474,Male,2,Research Scientist,Divorced,5974,17001,Yes
30,No,Sales,475,Female,2,Sales Executive,Married,4736,6069,Yes
26,No,Sales,476,Male,2,Sales Executive,Married,5296,20156,No
42,No,Research & Development,477,Male,2,Healthcare Representative,Single,6781,17078,No
21,Yes,Sales,478,Female,1,Sales Representative,Single,2174,9150,Yes
36,No,Sales,479,Female,2,Sales Executive,Single,6653,15276,No
36,No,Sales,481,Male,3,Sales Executive,Married,9699,7246,No
57,No,Research & Development,482,Male,2,Healthcare Representative,Married,6755,2967,No
40,No,Research & Development,483,Female,1,Laboratory Technician,Married,2213,22495,Yes
21,No,Sales,484,Male,1,Sales Representative,Single,2610,2851,No
33,Yes,Sales,485,Female,1,Sales Representative,Single,2851,9150,Yes
37,No,Research & Development,486,Female,1,Laboratory Technician,Married,3452,17663,No
46,No,Research & Development,487,Female,2,Manufacturing Director,Married,5258,16044,No
41,Yes,Sales,488,Male,2,Sales Executive,Single,9355,9558,No
50,No,Research & Development,491,Male,3,Healthcare Representative,Single,10496,2755,No
40,Yes,Sales,492,Male,2,Sales Executive,Married,6380,6110,Yes
31,No,Research & Development,493,Male,1,Research Scientist,Single,2657,7551,Yes
21,Yes,Sales,494,Female,1,Sales Representative,Single,2716,25422,No
29,No,Research & Development,495,Male,1,Research Scientist,Single,2201,18168,No
35,No,Research & Development,496,Male,2,Healthcare Representative,Single,6540,19394,No
27,No,Research & Development,497,Male,1,Laboratory Technician,Divorced,3816,17881,No
28,No,Sales,498,Male,2,Sales Executive,Single,5253,20750,No
49,No,Research & Development,499,Male,3,Healthcare Representative,Single,10965,12066,No
51,No,Sales,500,Female,2,Sales Executive,Married,4936,14862,No
36,No,Research & Development,501,Female,1,Research Scientist,Married,2543,11868,No
34,Yes,Sales,502,Male,2,Sales Executive,Single,5304,4652,Yes
55,No,Research & Development,505,Female,4,Manager,Single,16659,23258,Yes
24,No,Sales,507,Female,2,Sales Executive,Divorced,4260,5915,Yes
30,No,Sales,508,Male,1,Sales Representative,Married,2476,17434,No
26,Yes,Research & Development,510,Male,1,Research Scientist,Single,3102,6582,No
