Age,Attrition,Department,DistanceFromHome,EducationField,EmployeeNumber,Gender,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate
25,No,Sales,28,Life Sciences,183,Male,Sales Executive,3,Married,8639,24835
30,No,Human Resources,9,Human Resources,184,Male,Human Resources,4,Married,6347,13982
32,Yes,Research & Development,9,Medical,190,Female,Laboratory Technician,1,Single,4200,10224
45,No,Research & Development,29,Medical,192,Male,Research Scientist,4,Single,3452,9752
38,No,Research & Development,3,Technical Degree,193,Female,Research Scientist,3,Single,4317,2302
30,No,Research & Development,18,Life Sciences,194,Female,Research Scientist,3,Single,2632,23910
32,No,Sales,9,Medical,195,Male,Sales Executive,4,Divorced,4668,22812
30,No,Research & Development,5,Technical Degree,197,Female,Research Scientist,1,Divorced,3204,10415
30,No,Research & Development,2,Medical,198,Male,Laboratory Technician,4,Single,2720,11162
41,No,Research & Development,10,Life Sciences,199,Male,Manager,1,Divorced,17181,12888
41,No,Research & Development,9,Life Sciences,200,Male,Laboratory Technician,1,Married,2238,6961
19,No,Research & Development,3,Medical,201,Female,Laboratory Technician,2,Single,1483,16102
40,No,Research & Development,26,Medical,202,Female,Research Scientist,2,Divorced,5605,8504
35,No,Sales,1,Marketing,204,Male,Sales Executive,2,Married,7295,11439
53,No,Sales,6,Marketing,205,Male,Sales Representative,3,Married,2306,16047
45,No,Research & Development,9,Life Sciences,206,Male,Laboratory Technician,2,Divorced,2348,10901
32,No,Sales,8,Marketing,207,Female,Sales Executive,4,Single,8998,15589
29,No,Research & Development,1,Technical Degree,208,Male,Manufacturing Director,3,Married,4319,26283
51,No,Research & Development,7,Medical,211,Male,Manufacturing Director,3,Married,6132,13983
58,No,Research & Development,9,Medical,214,Female,Research Scientist,2,Married,3346,11873
40,No,Sales,4,Marketing,215,Male,Sales Executive,4,Married,10855,8552
34,No,Sales,2,Marketing,216,Female,Sales Representative,3,Married,2231,11314
22,No,Research & Development,19,Medical,217,Male,Research Scientist,4,Married,2323,11992
27,No,Research & Development,9,Medical,218,Male,Research Scientist,2,Divorced,2024,5970
28,No,Research & Development,21,Medical,221,Male,Research Scientist,4,Married,2713,6672
57,No,Research & Development,24,Life Sciences,223,Male,Healthcare Representative,4,Divorced,9439,23402
27,No,Research & Development,3,Medical,224,Male,Research Scientist,3,Divorced,2566,25326
50,No,Research & Development,11,Life Sciences,226,Female,Manager,2,Single,19926,17053
41,No,Research & Development,14,Life Sciences,227,Male,Research Scientist,3,Divorced,2451,4609
30,No,Sales,5,Life Sciences,228,Female,Sales Executive,4,Married,9419,8053
38,No,Sales,1,Life Sciences,230,Female,Sales Executive,4,Single,8686,12930
32,No,Research & Development,6,Life Sciences,231,Male,Research Scientist,3,Single,3038,12430
27,No,Research & Development,17,Technical Degree,233,Male,Research Scientist,2,Married,3058,13364
19,Yes,Sales,1,Technical Degree,235,Female,Sales Representative,1,Single,2325,20989
36,No,Research & Development,3,Medical,238,Male,Laboratory Technician,2,Single,2088,15062
30,No,Research & Development,9,Medical,239,Male,Laboratory Technician,1,Divorced,3072,11012
45,No,Sales,4,Life Sciences,240,Female,Sales Executive,1,Divorced,5006,6319
56,No,Research & Development,8,Life Sciences,241,Female,Research Scientist,1,Divorced,4257,13939
33,No,Research & Development,2,Life Sciences,242,Male,Research Scientist,4,Single,2500,10515
19,Yes,Research & Development,2,Life Sciences,243,Male,Laboratory Technician,4,Single,1102,9241
46,No,Sales,1,Marketing,244,Female,Sales Executive,1,Divorced,10453,2137
38,No,Research & Development,9,Life Sciences,245,Female,Laboratory Technician,4,Single,2288,6319
31,No,Research & Development,12,Medical,246,Female,Research Scientist,4,Married,3929,6984
34,No,Research & Development,27,Medical,247,Female,Research Scientist,2,Single,2311,5711
41,Yes,Sales,20,Marketing,248,Female,Sales Representative,2,Single,3140,21728
50,No,Research & Development,1,Medical,249,Male,Laboratory Technician,3,Married,3690,3425
53,No,Research & Development,13,Medical,250,Female,Manufacturing Director,1,Divorced,4450,26250
33,No,Research & Development,14,Medical,252,Female,Research Scientist,2,Married,2756,4673
40,No,Research & Development,4,Medical,253,Female,Manager,3,Married,19033,6499
55,No,Research & Development,14,Medical,254,Male,Research Director,2,Single,18722,13339
34,No,Research & Development,2,Life Sciences,256,Male,Manufacturing Director,3,Married,9547,14074
51,No,Research & Development,3,Medical,258,Female,Healthcare Representative,2,Single,13734,7192
52,No,Research & Development,1,Life Sciences,259,Male,Manager,3,Married,19999,5678
27,No,Research & Development,9,Medical,260,Female,Research Scientist,2,Single,2279,11781
35,Yes,Research & Development,23,Life Sciences,261,Male,Manufacturing Director,3,Married,5916,15497
43,No,Research & Development,7,Medical,262,Male,Research Scientist,4,Divorced,2089,5228
45,No,Research & Development,2,Medical,264,Male,Manager,4,Married,16792,20462
37,No,Research & Development,21,Life Sciences,267,Male,Research Scientist,1,Married,3564,22977
35,No,Research & Development,2,Medical,269,Female,Laboratory Technician,2,Single,4425,15986
42,No,Research & Development,21,Medical,270,Female,Manufacturing Director,3,Divorced,5265,16439
38,No,Research & Development,2,Life Sciences,271,Male,Manufacturing Director,3,Married,6553,7259
38,No,Research & Development,29,Technical Degree,273,Male,Manufacturing Director,4,Married,6261,4185
27,No,Research & Development,1,Technical Degree,274,Male,Manufacturing Director,1,Married,4298,9679
49,No,Research & Development,18,Life Sciences,275,Male,Manufacturing Director,4,Divorced,6804,23793
34,No,Research & Development,10,Medical,277,Male,Research Scientist,3,Divorced,3815,5972
40,No,Research & Development,19,Medical,281,Male,Laboratory Technician,4,Married,2741,16523
38,Yes,Research & Development,29,Medical,282,Male,Healthcare Representative,1,Married,6673,11354
29,Yes,Sales,27,Marketing,283,Female,Sales Executive,4,Married,7639,24525
22,No,Research & Development,5,Life Sciences,284,Male,Research Scientist,2,Divorced,2328,12392
36,No,Research & Development,18,Medical,286,Female,Laboratory Technician,4,Single,2153,7703
40,No,Research & Development,9,Life Sciences,287,Male,Healthcare Representative,4,Married,4876,14242
46,No,Research & Development,1,Medical,288,Male,Healthcare Representative,1,Divorced,9396,12368
32,Yes,Sales,4,Medical,291,Male,Sales Executive,4,Married,10400,25812
30,No,Research & Development,1,Life Sciences,292,Male,Manufacturing Director,3,Single,8474,20925
27,No,Sales,20,Life Sciences,293,Female,Sales Executive,3,Single,9981,12916
51,No,Research & Development,8,Life Sciences,296,Male,Research Director,2,Married,12490,15736
30,Yes,Research & Development,3,Technical Degree,297,Female,Research Scientist,1,Single,2657,8556
41,No,Sales,6,Life Sciences,298,Female,Manager,4,Single,13591,14674
30,Yes,Sales,26,Marketing,299,Female,Sales Executive,1,Single,6696,22967
29,Yes,Research & Development,1,Technical Degree,300,Male,Research Scientist,3,Single,2058,19757
45,No,Sales,6,Medical,302,Female,Sales Executive,4,Single,8865,16840
54,No,Sales,3,Marketing,303,Female,Sales Executive,1,Married,5940,17011
36,No,Research & Development,5,Life Sciences,304,Male,Laboratory Technician,2,Single,5914,9945
33,No,Research & Development,4,Medical,305,Female,Research Scientist,2,Married,2622,13248
37,No,Research & Development,11,Other,306,Male,Research Director,4,Divorced,12185,10056
38,No,Sales,3,Life Sciences,307,Male,Sales Executive,3,Divorced,10609,9647
31,No,Research & Development,1,Medical,308,Male,Manufacturing Director,3,Married,4345,4381
59,No,Research & Development,3,Life Sciences,309,Male,Research Scientist,4,Married,2177,8456
37,No,Sales,4,Marketing,311,Male,Sales Representative,4,Divorced,2793,2539
29,No,Sales,1,Medical,312,Female,Sales Executive,4,Married,7918,6599
35,No,Sales,1,Marketing,314,Female,Sales Executive,3,Single,8789,9096
29,Yes,Research & Development,18,Medical,315,Male,Research Scientist,4,Single,2389,14961
52,No,Research & Development,2,Life Sciences,316,Female,Laboratory Technician,4,Single,3212,3300
42,No,Research & Development,4,Technical Degree,319,Male,Manager,4,Married,19232,4933
59,No,Human Resources,6,Medical,321,Male,Human Resources,3,Married,2267,25657
50,No,Sales,1,Medical,323,Female,Manager,4,Divorced,19517,24118
33,Yes,Research & Development,14,Medical,325,Male,Laboratory Technician,4,Married,2436,22149
43,No,Sales,16,Marketing,327,Female,Manager,4,Married,16064,7744
33,Yes,Research & Development,2,Life Sciences,328,Female,Laboratory Technician,1,Married,2707,21509
52,No,Sales,2,Life Sciences,329,Male,Manager,3,Single,19068,21030
32,No,Sales,4,Life Sciences,330,Female,Sales Representative,2,Married,3931,20990
32,Yes,Research & Development,1,Life Sciences,331,Male,Laboratory Technician,3,Single,3730,9571
39,No,Research & Development,1,Medical,332,Female,Laboratory Technician,3,Divorced,2232,15417
32,No,Sales,26,Marketing,333,Male,Sales Executive,4,Married,4465,12069
41,No,Research & Development,19,Life Sciences,334,Male,Research Scientist,1,Divorced,3072,19877
40,No,Research & Development,24,Technical Degree,335,Male,Research Scientist,4,Divorced,3319,24447
45,No,Research & Development,1,Other,336,Male,Manager,4,Married,19202,15970
31,No,Research & Development,3,Medical,337,Male,Research Director,3,Divorced,13675,13523
33,No,Research & Development,5,Life Sciences,338,Female,Research Scientist,4,Married,2911,14776
34,No,Research & Development,2,Life Sciences,339,Male,Manufacturing Director,1,Married,5957,23687
37,No,Research & Development,1,Medical,340,Female,Research Scientist,1,Married,3920,18697
45,No,Research & Development,7,Life Sciences,341,Male,Manufacturing Director,3,Married,6434,5118
37,Yes,Research & Development,10,Medical,342,Male,Manufacturing Director,3,Divorced,10048,22573
39,No,Research & Development,2,Technical Degree,343,Female,Healthcare Representative,3,Single,10938,6420
29,No,Research & Development,15,Life Sciences,346,Male,Research Scientist,4,Single,2340,22673
42,No,Research & Development,17,Life Sciences,347,Female,Research Scientist,1,Single,6545,23016
29,No,Sales,20,Marketing,349,Male,Sales Executive,4,Divorced,6931,10732
25,No,Research & Development,1,Life Sciences,350,Female,Manufacturing Director,3,Married,4898,7505
42,No,Research & Development,2,Medical,351,Female,Laboratory Technician,1,Divorced,2593,8007
40,No,Research & Development,2,Medical,352,Male,Research Director,3,Divorced,19436,5949
51,No,Research & Development,1,Life Sciences,353,Male,Research Scientist,4,Married,2723,23231
31,Yes,Research & Development,29,Medical,355,Male,Laboratory Technician,2,Single,3479,11652
32,No,Research & Development,7,Life Sciences,359,Male,Laboratory Technician,2,Married,2794,26062
38,No,Sales,2,Life Sciences,361,Male,Sales Executive,4,Married,5249,19682
32,No,Research & Development,2,Technical Degree,362,Male,Laboratory Technician,1,Single,2176,19737
46,No,Sales,2,Technical Degree,363,Female,Manager,2,Married,16872,14977
28,Yes,Research & Development,2,Life Sciences,364,Male,Laboratory Technician,3,Single,3485,14935
29,No,Sales,2,Medical,366,Male,Sales Executive,2,Married,6644,3687
31,No,Research & Development,23,Medical,367,Male,Healthcare Representative,4,Married,5582,14408
25,No,Research & Development,5,Life Sciences,369,Male,Healthcare Representative,1,Divorced,4000,18384
45,No,Research & Development,20,Medical,372,Male,Healthcare Representative,4,Married,13496,7501
36,No,Research & Development,6,Life Sciences,373,Male,Laboratory Technician,4,Married,3210,20251
55,No,Research & Development,1,Medical,374,Male,Manager,1,Single,19045,18938
47,Yes,Research & Development,29,Life Sciences,376,Male,Manager,2,Married,11849,10268
28,No,Research & Development,9,Medical,377,Male,Research Scientist,4,Married,2070,2613
37,No,Sales,6,Medical,378,Male,Sales Executive,4,Married,6502,22825
21,No,Research & Development,3,Medical,379,Male,Research Scientist,3,Single,3230,10531
37,No,Research & Development,1,Medical,380,Female,Research Director,4,Divorced,13603,11677
35,No,Research & Development,22,Life Sciences,381,Female,Manager,2,Divorced,11996,19100
38,No,Sales,7,Medical,382,Female,Sales Executive,1,Divorced,5605,19191
26,No,Research & Development,1,Life Sciences,384,Female,Manufacturing Director,2,Divorced,6397,26767
50,No,Research & Development,4,Life Sciences,385,Male,Research Director,2,Divorced,19144,15815
53,No,Research & Development,3,Medical,386,Male,Research Director,3,Married,17584,21016
42,No,Sales,1,Life Sciences,387,Male,Sales Executive,3,Married,4907,24532
29,No,Sales,2,Life Sciences,388,Male,Sales Executive,4,Single,4554,20260
55,No,Research & Development,20,Technical Degree,389,Male,Laboratory Technician,4,Married,5415,15972
26,No,Research & Development,11,Medical,390,Male,Healthcare Representative,1,Married,4741,22722
37,No,Research & Development,1,Life Sciences,391,Female,Research Scientist,4,Single,2115,15881
44,Yes,Research & Development,24,Life Sciences,392,Male,Laboratory Technician,3,Divorced,3161,19920
38,No,Research & Development,23,Life Sciences,393,Male,Healthcare Representative,4,Divorced,5745,18899
26,Yes,Research & Development,16,Medical,394,Male,Laboratory Technician,2,Divorced,2373,14180
28,No,Research & Development,8,Life Sciences,395,Female,Research Scientist,4,Single,3310,4488
49,No,Research & Development,10,Life Sciences,396,Female,Research Director,1,Single,18665,25594
36,No,Research & Development,3,Technical Degree,397,Male,Research Scientist,2,Single,4485,26285
31,No,Sales,5,Marketing,399,Female,Sales Representative,2,Divorced,2789,3909
26,Yes,Sales,4,Marketing,401,Male,Sales Executive,4,Single,5828,8450
37,No,Research & Development,9,Medical,403,Male,Research Scientist,4,Married,2326,11411
42,No,Sales,26,Marketing,404,Female,Sales Executive,2,Married,13525,14864
18,Yes,Research & Development,3,Life Sciences,405,Male,Laboratory Technician,3,Single,1420,25233
35,No,Sales,16,Marketing,406,Male,Sales Executive,2,Married,8020,5100
36,No,Research & Development,18,Life Sciences,407,Male,Laboratory Technician,4,Married,3688,7122
51,No,Research & Development,2,Medical,408,Male,Manufacturing Director,2,Divorced,5482,16321
41,No,Sales,2,Life Sciences,410,Male,Manager,2,Single,16015,15896
18,No,Sales,10,Medical,411,Female,Sales Representative,3,Single,1200,9724
28,No,Research & Development,16,Medical,412,Male,Healthcare Representative,1,Single,5661,4824
31,No,Sales,7,Technical Degree,416,Male,Sales Executive,4,Married,6929,12241
39,No,Research & Development,1,Medical,417,Male,Healthcare Representative,4,Divorced,9613,10942
36,No,Research & Development,24,Life Sciences,419,Female,Laboratory Technician,2,Married,5674,6927
32,No,Sales,7,Life Sciences,420,Male,Sales Executive,3,Married,5484,16985
38,No,Research & Development,25,Life Sciences,421,Female,Research Director,2,Married,12061,26707
58,No,Research & Development,1,Life Sciences,422,Male,Healthcare Representative,3,Divorced,5660,17056
31,No,Research & Development,5,Technical Degree,423,Male,Research Scientist,4,Married,4821,10077
31,No,Human Resources,2,Human Resources,424,Male,Human Resources,1,Married,6410,17822
45,No,Research & Development,7,Life Sciences,425,Male,Laboratory Technician,1,Divorced,5210,20308
31,No,Research & Development,2,Life Sciences,426,Male,Research Scientist,4,Divorced,2695,7747
33,No,Research & Development,5,Life Sciences,428,Female,Manager,2,Married,11878,23364
39,No,Research & Development,10,Medical,429,Male,Manager,1,Married,17068,5355
43,No,Research & Development,10,Life Sciences,430,Female,Laboratory Technician,4,Single,2455,10675
49,No,Research & Development,1,Technical Degree,431,Female,Healthcare Representative,3,Single,13964,17810
52,Yes,Research & Development,8,Medical,433,Male,Research Scientist,2,Married,4941,17747
27,No,Research & Development,5,Life Sciences,434,Female,Research Scientist,2,Single,2478,20938
32,No,Sales,8,Technical Degree,436,Female,Sales Executive,2,Married,5228,24624
27,No,Sales,2,Life Sciences,437,Male,Sales Executive,3,Single,4478,5242
31,No,Sales,7,Marketing,438,Male,Sales Executive,4,Divorced,7547,7143
32,No,Research & Development,2,Medical,439,Female,Research Scientist,4,Single,5055,10557
28,Yes,Research & Development,2,Medical,440,Male,Research Scientist,4,Married,3464,24737
30,No,Research & Development,28,Medical,441,Female,Research Scientist,4,Married,5775,11934
31,No,Research & Development,7,Life Sciences,442,Female,Manufacturing Director,3,Married,8943,14034
39,No,Research & Development,7,Medical,444,Male,Manager,4,Married,19272,21141
39,Yes,Sales,3,Medical,445,Female,Sales Executive,3,Married,5238,17778
33,No,Sales,10,Marketing,446,Male,Sales Executive,4,Single,4682,4317
47,No,Research & Development,5,Life Sciences,447,Male,Research Director,3,Married,18300,16375
43,No,Research & Development,10,Life Sciences,448,Female,Laboratory Technician,3,Divorced,5257,6227
27,No,Sales,1,Marketing,449,Male,Sales Executive,2,Married,6349,22107
54,No,Research & Development,20,Life Sciences,450,Female,Research Scientist,3,Single,4869,16885
43,No,Research & Development,7,Life Sciences,451,Female,Healthcare Representative,1,Married,9985,9262
45,No,Research & Development,8,Other,452,Male,Research Scientist,4,Married,3697,9278
40,No,Sales,1,Medical,453,Male,Sales Executive,4,Married,7457,13273
